month,male,female,not_stated,total
July,570,146,—,716
August,559,139,2,700
September,505,122,1,628
October,582,172,—,754
November,618,141,—,759
December,650,167,2,819
January,691,139,1,831
February,637,103,1,741
March,561,144,—,705
April,616,180,—,796
May,577,131,—,708
June,551,140,—,691
