remoteness_area,nsw,vic,qld,wa,sa,tas,act,nt,australia
Major cities of Australia,395.5,161.6,370.7,247.3,108.8,. .,41.9,n.a.,1325.8
Inner regional Australia,193.7,39,146.3,12.4,8.5,64.8,0.1,n.a.,464.8
Outer regional Australia,57.2,7.3,243.1,32.9,31.4,29.4,. .,n.a.,401.4
Remote Australia,10.9,—,44,24.8,6.3,0.8,. .,n.a.,86.8
Very remote Australia,7.3,. .,43.6,48.4,6.9,—,. .,n.a.,106.2
Total under community-based supervision,739.5,228.7,860,367.8,169.1,96.4,47.4,n.a.,2508.8
