year,sex,nsw,vic,qld,wa,sa,tas,act,nt,australia_excl_nt,australia
2015-16,Male,28.642,19.675,40.377,46.233,26.254,26.903,25.413,95.145,30.584,31.303
2015-16,Female,6.919,4.053,12.357,8.476,5.929,5.941,9.074,23.011,7.489,7.658
2015-16,Total,18.089,12.061,26.752,27.784,16.339,16.784,17.419,60.466,19.344,19.797
2016-17,Male,25.551,17.829,37.993,45.459,25.483,25.243,26.108,93.379,28.452,29.166
2016-17,Female,6.512,3.994,12.765,8.216,6.892,8.285,8.024,24.715,7.506,7.692
2016-17,Total,16.314,11.087,25.721,27.27,16.41,17.071,17.269,60.313,18.262,18.72
2017-18,Male,24.38,17.245,42.305,44.844,22.723,28.679,32.505,89.2,28.798,29.455
2017-18,Female,6.681,3.781,13.648,8.011,4.641,11.746,13.025,17.381,7.677,7.781
2017-18,Total,15.797,10.695,28.397,26.884,13.894,20.508,23.016,54.49,18.535,18.924
2018-19,Male,23.352,15.779,42.445,41.226,19.68,34.067,23.688,91.915,27.527,28.219
2018-19,Female,7.253,3.636,14.52,9.692,3.683,11.996,7.957,15.902,8.054,8.139
2018-19,Total,15.548,9.881,28.901,25.891,11.86,23.395,16.037,55.01,18.073,18.47
2019-20,Male,22.356,14.207,34.487,35.254,19.904,31.623,23.001,84.28,24.407,25.042
2019-20,Female,6.452,3.644,12.832,9.18,4.135,11.639,8.389,13.896,7.415,7.483
2019-20,Total,14.654,9.074,23.996,22.607,12.21,21.969,15.916,50.183,16.166,16.526
2020-21,Male,20.836,11.931,30.885,26.762,14.879,21.688,19.303,65.181,21.06,21.527
2020-21,Female,5.342,2.447,10.488,5.876,4.176,8.168,7.621,10.393,5.819,5.867
2020-21,Total,13.341,7.321,20.997,16.63,9.664,15.173,13.634,38.733,13.669,13.934
2021-22,Male,18.98,9.497,31.202,27.427,16.675,16.133,14.389,94.253,19.954,20.732
2021-22,Female,4.638,1.942,10.842,6.762,4.086,8.069,8.259,18.06,5.657,5.786
2021-22,Total,12.05,5.832,21.341,17.407,10.538,12.252,11.42,57.501,13.029,13.492
2022-23,Male,17.486,8.052,30.651,28.587,18.054,19.661,16.725,128.873,19.338,20.472
2022-23,Female,4.044,1.261,9.995,7.907,6.33,9.358,8.21,29.144,5.42,5.665
2022-23,Total,10.982,4.752,20.641,18.547,12.348,14.7,12.59,80.67,12.589,13.293
2023-24,Male,16.939,6.952,30.205,26.371,19.087,23.672,26.308,n.a.,18.82,n.a.
2023-24,Female,4.357,1.066,10.301,7.741,8.228,10.433,13.64,n.a.,5.721,n.a.
2023-24,Total,10.847,4.088,20.547,17.317,13.794,17.319,20.214,n.a.,12.463,n.a.
2024-25,Male,17.213,7.851,28.567,22.768,16.915,27.526,27.046,n.a.,18.299,n.a.
2024-25,Female,4.456,0.954,10.167,5.917,5.769,12.448,9.912,n.a.,5.312,n.a.
2024-25,Total,11.041,4.493,19.644,14.572,11.514,20.398,18.774,n.a.,12.002,n.a.
