section,socioeconomic_areas,nsw,vic,qld,wa,sa,tas,act,nt,australia
,1 (lowest),33.04,16.896,54.113,68.462,43.34,49.452,. .,320.984,44.785
,2,24.265,8.112,42.953,47.688,23.752,29.503,. .,295.786,30.878
,3,19.65,7.976,22.663,33.404,15.505,n.p.,n.p.,255.63,20.158
,4,9.599,4.448,13.273,19.435,9.936,11.768,46.756,95.248,12.527
,5 (highest),6.692,3.511,6.141,12.215,n.p.,n.p.,29.404,—,7.282
