sex,indigenous_status,10_11,12,13,14,15,16,17,18plus,australia
Male,First Nations,148,249,441,484,391,240,n.p.,n.p.,2124
Male,Non-Indigenous,21,64,178,349,428,314,n.p.,n.p.,1645
Male,Not stated,—,2,3,9,15,8,13,1,51
Male,Total,169,315,622,842,834,562,418,58,3820
Female,First Nations,21,70,113,156,115,77,n.p.,n.p.,590
Female,Non-Indigenous,1,19,59,67,80,43,n.p.,n.p.,319
Female,Not stated,—,2,2,2,2,1,2,—,11
Female,Total,22,91,174,225,197,121,85,5,920
Not stated,First Nations,—,—,—,—,—,—,—,—,—
Not stated,Non-Indigenous,—,—,1,—,—,1,—,—,2
Not stated,Not stated,—,—,—,—,—,—,—,—,—
Not stated,Total,—,—,1,—,—,1,—,—,2
Total,First Nations,169,319,554,640,506,317,197,12,2714
Total,Non-Indigenous,22,83,238,416,508,358,291,50,1966
Total,Not stated,—,4,5,11,17,9,15,1,62
Total,Total,191,406,797,1067,1031,684,503,63,4742
