indigenous_status,10,11,12,13,14,15,16,17,10_17
First Nations,—,—,10.512,16.352,50.738,83.801,171.912,191.814,70.117
Non-Indigenous,0.138,—,—,2.591,7.991,23.415,28.728,46.121,13.996
Total,0.123,—,1.355,4.084,12.677,30.354,45.85,63.663,20.398
