number_of_orders,first_nations,non_indigenous,not_stated,total
1,454,393,8,855
2,402,414,32,848
3,210,172,6,388
4,191,156,4,351
5,140,103,1,244
6+,998,717,7,1722
Total,2395,1955,58,4408
