indigenous_status,duration,nsw,vic,qld,wa,sa,tas,act,nt,australia
First Nations,0–29 days (<1 month),3679,497,4603,1769,697,103,157,n.a.,11505
First Nations,30–90 days (1–<3 months),1904,130,1305,343,343,28,63,n.a.,4116
First Nations,91–182 days (3–<6 months),2057,76,1029,367,216,31,21,n.a.,3797
First Nations,183–273 days (6–<9 months),1069,35,658,155,95,n.p,n.p,n.a.,2043
First Nations,274–364 days (9–<12 months),712,19,347,56,35,n.p,n.p,n.a.,1187
First Nations,365+ days (12+ months),966,33,499,42,35,45,6,n.a.,1626
First Nations,Total,10387,790,8441,2732,1421,245,258,n.a.,24274
Non-Indigenous,0–29 days (<1 month),2830,2566,1838,1124,455,209,247,n.a.,9269
Non-Indigenous,30–90 days (1–<3 months),670,525,529,184,208,59,102,n.a.,2277
Non-Indigenous,91–182 days (3–<6 months),1115,326,472,227,155,52,43,n.a.,2390
Non-Indigenous,183–273 days (6–<9 months),740,120,244,119,65,n.p,n.p,n.a.,1325
Non-Indigenous,274–364 days (9–<12 months),465,86,153,37,15,n.p,n.p,n.a.,786
Non-Indigenous,365+ days (12+ months),773,160,239,23,29,78,9,n.a.,1311
Non-Indigenous,Total,6593,3783,3475,1714,927,443,423,n.a.,17358
Not stated,0–29 days (<1 month),139,7,5,—,3,—,—,n.a.,154
Not stated,30–90 days (1–<3 months),22,1,1,—,1,2,—,n.a.,27
Not stated,91–182 days (3–<6 months),27,—,4,—,4,1,—,n.a.,36
Not stated,183–273 days (6–<9 months),5,—,1,—,—,—,—,n.a.,6
Not stated,274–364 days (9–<12 months),12,—,—,—,—,—,—,n.a.,12
Not stated,365+ days (12+ months),18,—,—,—,—,—,—,n.a.,18
Not stated,Total,223,8,11,—,8,3,—,n.a.,253
Total,0–29 days (<1 month),6648,3070,6446,2893,1155,312,404,n.a.,20928
Total,30–90 days (1–<3 months),2596,656,1835,527,552,89,165,n.a.,6420
Total,91–182 days (3–<6 months),3199,402,1505,594,375,84,64,n.a.,6223
Total,183–273 days (6–<9 months),1814,155,903,274,160,42,26,n.a.,3374
Total,274–364 days (9–<12 months),1189,105,500,93,50,41,7,n.a.,1985
Total,365+ days (12+ months),1757,193,738,65,64,123,15,n.a.,2955
Total,Total,17203,4581,11927,4446,2356,691,681,n.a.,41885
