indigenous_status,10,11,12,13,14,15,16,17,10_17
Indigenous,—,—,0.857,4.645,7.511,2.128,17.403,25.896,7.765
Non-Indigenous,—,—,—,0.515,1.481,4.38,3.848,5.356,1.999
Total,—,—,0.096,0.963,2.13,4.122,5.453,7.803,2.649
