sex,remoteness_area,first_nations,non_indigenous,not_stated,total
Male,Major cities of Australia,630.1,1147.3,14.8,1792.1
Male,Inner regional Australia,357.3,258.6,4.3,620.2
Male,Outer regional Australia,399,91.5,1.6,492.1
Male,Remote Australia,105,9.2,0.2,114.4
Male,Very remote Australia,127.2,3.1,—,130.3
Female,Major cities of Australia,210.9,221.6,1.6,434
Female,Inner regional Australia,92,60,2.4,154.4
Female,Outer regional Australia,141.6,18.8,0.2,160.6
Female,Remote Australia,21.6,1.3,—,23
Female,Very remote Australia,19.6,0.6,—,20.1
Not stated,Major cities of Australia,0.3,0.3,—,0.6
Not stated,Inner regional Australia,0.1,3.1,—,3.2
Not stated,Outer regional Australia,—,0.3,0.6,0.9
Not stated,Remote Australia,—,—,—,—
Not stated,Very remote Australia,—,—,—,—
Total,Major cities of Australia,841.3,1369.1,16.4,2226.7
Total,Inner regional Australia,449.4,321.6,6.7,777.8
Total,Outer regional Australia,540.7,110.6,2.5,653.7
Total,Remote Australia,126.6,10.6,0.2,137.4
Total,Very remote Australia,146.8,3.6,—,150.4
Total,Total under supervision,2182.8,1927.04,37.46,4147.3
