sex,socioeconomic_areas,first_nations,non_indigenous,not_stated,total
Male,1 (lowest),1759,1010,38,2807
Male,2,1146,728,35,1909
Male,3,536,645,15,1196
Male,4,275,473,16,764
Male,5 (highest),135,285,6,426
Female,1 (lowest),496,226,4,726
Female,2,365,176,9,550
Female,3,206,138,6,350
Female,4,108,106,2,216
Female,5 (highest),40,84,—,124
Unknown,1 (lowest),—,2,1,3
Unknown,2,1,1,1,3
Unknown,3,1,3,2,6
Unknown,4,—,—,—,—
Unknown,5 (highest),—,—,—,—
Total,1 (lowest),2255,1238,43,3536
Total,2,1512,905,45,2462
Total,3,743,786,23,1552
Total,4,383,579,18,980
Total,5 (highest),175,369,6,550
Total,Total under supervision,5310,4084,185,9579
