remoteness_area,nsw,vic,qld,wa,sa,tas,act,nt,australia
Major Cities of Australia,495.3,208.3,493.1,288.6,134.8,—,56.4,n.a.,1676.5
Inner Regional Australia,246.9,52.6,190.8,16.7,9.1,77.1,0.1,n.a.,593.4
Outer Regional Australia,72.5,8.5,335.2,41.3,38,30.8,—,n.a.,526.4
Remote Australia,14,—,55.9,30,7.1,0.8,—,n.a.,107.9
Very Remote Australia,11.1,—,49.9,58.6,7.3,—,—,n.a.,126.9
Total under supervision,918.2,299.92,1142.23,437.52,204.96,110.24,63.69,n.a.,3176.77
