legal_status,indigenous_status,nsw,vic,qld,wa,sa,tas,act,nt,australia
Unsentenced,First Nations,55.9,41.8,141.7,32.6,53.5,10,13.6,n.a.,349
Unsentenced,Non-Indigenous,24,166.4,71,27.4,36.2,12.7,34.5,n.a.,372.1
Unsentenced,Not stated,1.5,0.3,0.4,—,0.9,0.2,—,n.a.,3.4
Unsentenced,Total,81.4,208.4,213,60,90.6,22.9,48.1,n.a.,724.4
Sentenced,First Nations,386,41.7,695.3,232.4,65,44.4,9,n.a.,1473.9
Sentenced,Non-Indigenous,329.1,192.6,424.2,163.7,56.3,80.7,18,n.a.,1264.6
Sentenced,Not stated,23.5,—,3.9,—,2.2,0.5,—,n.a.,30.1
Sentenced,Total,738.6,234.4,1123.5,396.1,123.5,125.6,27,n.a.,2768.7
Total,First Nations,432.1,78.6,785.7,259.5,112.3,53.6,20.9,n.a.,1742.7
Total,Non-Indigenous,350.2,340.4,473.8,185.4,88.1,92.9,50,n.a.,1580.6
Total,Not stated,26.6,0.4,4.3,—,3.1,0.7,—,n.a.,35.1
Total,Total,808.9,419.4,1263.8,444.9,203.4,147.2,70.9,n.a.,3358.4
