sex,year,10,11,12,13,14,15,16,17,10_17
Male,2020-21,5,25,66,236,454,698,818,941,3243
Male,2021-22,6,20,87,217,512,662,904,905,3313
Male,2022-23,10,34,108,291,512,744,865,961,3525
Male,2023-24,9,19,89,264,507,766,860,933,3447
Male,2024-25,2,18,88,269,533,814,881,1010,3615
Female,2020-21,0,4,27,84,154,192,154,142,757
Female,2021-22,1,5,45,86,162,184,169,157,809
Female,2022-23,5,4,46,100,169,217,175,158,874
Female,2023-24,3,3,37,96,188,200,203,168,898
Female,2024-25,1,2,30,101,161,207,211,193,906
Not stated,2020-21,0,0,0,0,0,1,0,0,1
Not stated,2021-22,0,0,0,0,0,1,1,0,2
Not stated,2022-23,0,1,0,2,0,0,1,1,5
Not stated,2023-24,0,0,0,0,2,2,0,1,5
Not stated,2024-25,0,0,0,0,0,1,1,0,2
Total,2020-21,5,29,93,320,608,891,972,1083,4001
Total,2021-22,7,25,132,303,674,847,1074,1062,4124
Total,2022-23,15,39,154,393,681,961,1041,1120,4404
Total,2023-24,12,22,126,360,697,968,1063,1102,4350
Total,2024-25,3,20,118,370,694,1022,1093,1203,4523
