sex,year,10,11,12,13,14,15,16,17,10_17
Male,2020-21,1,7.4,26.2,90.3,260,555.1,770.1,970.6,2680.8
Male,2021-22,0.3,3.9,28.4,87.9,252.4,494.5,772.7,944.4,2584.6
Male,2022-23,1.4,5.8,18.8,100.7,261.8,532.1,725.2,914.8,2560.4
Male,2023-24,0.4,6.1,22.6,90.8,250.4,538.1,730,892.3,2530.7
Male,2024-25,0.6,3.3,21.6,79.6,237.7,530.9,753.6,859.2,2486.1
Female,2020-21,—,1,7.5,28.9,94.6,160.5,203.5,202.1,698.1
Female,2021-22,—,0.6,9.1,40.5,90.2,159.7,198,192.6,690.7
Female,2022-23,—,1.3,9,39,96,165,186.9,179.7,677
Female,2023-24,0.1,1.3,6.6,33.3,92.3,179.2,220.5,192.9,726.1
Female,2024-25,0.1,0.9,8.2,27.3,79.8,173.8,202.5,190.4,683
Not stated,2020-21,—,—,—,—,—,0.6,0.4,—,1
Not stated,2021-22,—,—,—,—,—,0.5,2.1,0.2,2.8
Not stated,2022-23,—,—,—,—,0.6,—,0.4,1.2,2.3
Not stated,2023-24,—,—,—,—,0.3,0.1,0.6,0.2,1.2
Not stated,2024-25,—,—,—,—,—,0.7,1.4,1.3,3.3
Total,2020-21,1,8.4,33.7,119.2,354.6,715.9,974.1,1172.9,3379.9
Total,2021-22,0.3,4.6,37.5,128.4,342.6,654.7,972.2,1137.6,3277.9
Total,2022-23,1.4,7.1,27.8,139.7,358.5,696.7,912.8,1094.6,3238.5
Total,2023-24,0.5,7.5,29.1,124.1,343.2,717.5,950.3,1085.2,3257.3
Total,2024-25,0.7,4.2,29.9,107.1,317.8,707.3,958.9,1051,3176.8
