legal_status,nsw,vic,qld,wa,sa,tas,act,nt,australia
Police-referred pre-court detention,449,—,44,652,235,—,139,—,1519
Remand,2237,585,1576,1065,438,115,55,384,6455
Total unsentenced,2686,585,1620,1717,673,n.p.,n.p.,384,7974
Sentenced,168,87,151,105,33,n.p.,n.p.,156,718
Other,—,1,—,—,—,—,—,118,119
Total,2854,673,1771,1822,706,131,196,658,8811
