indigenous_status,nsw,vic,qld,wa,sa,tas,act,nt,australia
First Nations,2,24,30,2,5,19,2,5,5
Non-Indigenous,2,20,28,3,7,19,2,4,5
Not stated,2,27,42,—,4,—,—,4,2
Total,2,21,29,2,5,19,2,5,5
First Nations,2,25,36,2,5,20,2,5,6
Non-Indigenous,2,22,32,3,7,25,2,4,6
Not stated,2,27,42,—,4,—,—,4,2
Total,2,22,35,2,6,22,2,5,6
First Nations,1589,105,1271,1210,432,41,66,633,5347
Non-Indigenous,1276,589,516,684,288,95,138,27,3613
Not stated,59,2,3,—,3,—,—,4,71
Total,2924,696,1790,1894,723,136,204,664,9031
First Nations,787,55,696,523,186,23,31,299,2600
Non-Indigenous,652,323,306,267,156,46,65,9,1824
Not stated,48,1,3,—,3,—,—,3,58
Total,1487,379,1005,790,345,69,96,311,4482
