socioeconomic_areas,nsw,vic,qld,wa,sa,tas,act,nt,australia
1 (lowest),28.157,7.598,27.152,52.552,30.481,16.118,—,171.192,27.574
2,22.969,5.178,24.361,31.875,18.296,10.958,—,151.945,21.486
3,16.182,5.279,12.144,28.303,10.734,n.p.,n.p.,144.045,13.654
4,10.434,2.551,6.475,14.217,9.2,n.p.,n.p.,45.507,9.006
5 (highest),7.566,2.341,3.07,9.415,—,—,21.504,—,6.285
