year,sex,indigenous_status,10,11,12,13,10_13,14,15,16,17,14_17,10_17,18plus,total
2020-21,Male,First Nations,—,—,—,—,—,0.1,0.1,0.1,1.6,1.9,1.9,—,2
2020-21,Male,Non-Indigenous,—,—,0.1,0.2,0.2,0.3,0.4,2.2,1.4,4.3,4.5,1.4,5.9
2020-21,Male,Not stated,—,—,—,—,—,—,—,—,—,—,—,—,—
2020-21,Male,Total,—,—,0.1,0.2,0.3,0.3,0.5,2.3,3.1,6.2,6.4,1.5,7.9
2020-21,Female,First Nations,—,—,—,—,—,0.1,0.6,—,—,0.7,0.7,—,0.7
2020-21,Female,Non-Indigenous,—,—,—,0.1,0.1,0.4,0.2,0.1,—,0.8,0.9,—,0.9
2020-21,Female,Not stated,—,—,—,—,—,—,—,—,—,—,—,—,—
2020-21,Female,Total,—,—,—,0.1,0.1,0.5,0.8,0.1,—,1.4,1.5,—,1.5
2020-21,Total,First Nations,—,—,—,—,—,0.2,0.7,0.1,1.6,2.6,2.6,—,2.6
2020-21,Total,Non-Indigenous,—,—,0.1,0.3,0.3,0.7,0.6,2.3,1.4,5,5.4,1.4,6.8
2020-21,Total,Not stated,—,—,—,—,—,—,—,—,—,—,—,—,—
2020-21,Total,Total,—,—,0.1,0.3,0.4,0.9,1.3,2.4,3.1,7.6,8,1.5,9.4
2021-22,Male,First Nations,—,—,—,—,—,0.1,0.7,0.3,0.5,1.6,1.6,0.1,1.7
2021-22,Male,Non-Indigenous,—,—,—,0.6,0.6,0.8,1.5,1,2.1,5.5,6.1,1.8,7.9
2021-22,Male,Not stated,—,—,—,—,—,—,—,—,—,—,—,—,—
2021-22,Male,Total,—,—,—,0.6,0.6,0.9,2.3,1.3,2.6,7.1,7.7,1.9,9.6
2021-22,Female,First Nations,—,—,—,0.3,0.3,—,0.1,0.8,—,0.9,1.2,—,1.2
2021-22,Female,Non-Indigenous,—,—,—,0.1,0.2,0.2,0.4,0.1,—,0.7,0.8,—,0.8
2021-22,Female,Not stated,—,—,—,—,—,—,—,—,—,—,—,—,—
2021-22,Female,Total,—,—,—,0.4,0.5,0.2,0.5,0.9,—,1.6,2,—,2
2021-22,Total,First Nations,—,—,—,0.3,0.3,0.1,0.8,1,0.5,2.5,2.8,0.1,2.9
2021-22,Total,Non-Indigenous,—,—,—,0.7,0.7,1,1.9,1.1,2.1,6.2,6.9,1.8,8.7
2021-22,Total,Not stated,—,—,—,—,—,—,—,—,—,—,—,—,—
2021-22,Total,Total,—,—,—,1,1,1.1,2.7,2.2,2.7,8.7,9.7,1.9,11.6
2022-23,Male,First Nations,—,—,—,—,—,—,1,1.4,0.7,3.1,3.1,0.2,3.4
2022-23,Male,Non-Indigenous,—,—,—,0.2,0.2,1.6,1.1,1.6,3.5,7.7,7.9,3.2,11.1
2022-23,Male,Not stated,—,—,—,—,—,—,—,—,—,—,—,0.6,0.6
2022-23,Male,Total,—,—,—,0.2,0.2,1.6,2.1,3,4.2,10.9,11.1,4,15.1
2022-23,Female,First Nations,—,—,—,—,—,0.1,—,0.1,0.8,1,1.1,—,1.1
2022-23,Female,Non-Indigenous,—,0.1,—,0.2,0.3,0.1,0.3,0.5,0.4,1.4,1.6,—,1.6
2022-23,Female,Not stated,—,—,—,—,—,—,—,—,—,—,—,—,—
2022-23,Female,Total,—,0.1,—,0.2,0.3,0.2,0.3,0.6,1.2,2.4,2.7,—,2.7
2022-23,Total,First Nations,—,—,—,—,—,0.2,1,1.5,1.5,4.2,4.2,0.2,4.4
2022-23,Total,Non-Indigenous,—,0.1,—,0.4,0.4,1.7,1.5,2.1,3.9,9.1,9.5,3.2,12.7
2022-23,Total,Not stated,—,—,—,—,—,—,—,—,—,—,—,0.6,0.6
2022-23,Total,Total,—,0.1,—,0.4,0.5,1.8,2.4,3.6,5.4,13.3,13.8,4,17.8
2023-24,Male,First Nations,—,—,—,0.2,0.2,0.5,0.4,1,1.5,3.4,3.6,1,4.6
2023-24,Male,Non-Indigenous,—,—,—,0.1,0.1,0.6,2.9,2,2.3,7.8,7.9,1.9,9.8
2023-24,Male,Not stated,—,—,—,—,—,—,—,—,—,—,—,—,—
2023-24,Male,Total,—,—,—,0.3,0.3,1.1,3.4,3,3.8,11.3,11.6,2.9,14.5
2023-24,Female,First Nations,—,—,0.2,0.1,0.3,—,0.2,0.1,0.1,0.4,0.7,—,0.7
2023-24,Female,Non-Indigenous,—,—,—,0.1,0.1,—,—,0.4,0.1,0.5,0.6,—,0.6
2023-24,Female,Not stated,—,—,—,—,—,—,—,—,—,—,—,—,—
2023-24,Female,Total,—,—,0.2,0.2,0.4,—,0.2,0.6,0.1,0.9,1.3,—,1.3
