year,sex,indigenous_status,10,11,12,13,10_13,14,15,16,17,14_17,10_17,18plus,total
2020-21,Male,First Nations,—,—,—,—,—,0.5,0.1,1.1,5,6.7,6.7,3.2,9.9
2020-21,Male,Non-Indigenous,—,0.1,0.6,1.1,1.9,2.4,5.4,10.8,13.7,32.2,34.1,8.2,42.3
2020-21,Male,Not stated,—,—,—,—,—,—,—,—,—,—,—,—,—
2020-21,Male,Total,—,0.1,0.6,1.2,1.9,2.9,5.4,11.9,18.7,38.9,40.8,11.4,52.3
2020-21,Female,First Nations,—,—,—,—,0.1,0.1,1.6,0.5,—,2.3,2.3,0.1,2.4
2020-21,Female,Non-Indigenous,—,—,—,0.2,0.2,3.7,3.5,2.2,3.3,12.7,12.9,1.1,14.1
2020-21,Female,Not stated,—,—,—,—,—,—,—,—,—,—,—,—,—
2020-21,Female,Total,—,—,—,0.2,0.2,3.9,5.1,2.7,3.3,15,15.2,1.3,16.5
2020-21,Total,First Nations,—,—,—,0.1,0.1,0.7,1.7,1.6,5,8.9,9,3.3,12.3
2020-21,Total,Non-Indigenous,—,0.1,0.6,1.3,2,6.1,8.9,13,17,45,47,9.4,56.4
2020-21,Total,Not stated,—,—,—,—,—,—,—,—,—,—,—,—,—
2020-21,Total,Total,—,0.1,0.6,1.4,2.1,6.8,10.5,14.6,22,53.9,56.1,12.7,68.7
2021-22,Male,First Nations,—,—,—,0.1,0.1,0.1,1,1.9,1.5,4.5,4.6,5.1,9.7
2021-22,Male,Non-Indigenous,—,—,0.5,1.7,2.2,3,4.8,5.9,10.9,24.6,26.8,9.9,36.7
2021-22,Male,Not stated,—,—,—,—,—,—,—,—,—,—,—,—,—
2021-22,Male,Total,—,—,0.5,1.8,2.3,3.1,5.9,7.8,12.4,29.1,31.4,15,46.4
2021-22,Female,First Nations,—,—,—,0.9,0.9,0.4,0.3,1.1,0.2,2,2.9,—,2.9
2021-22,Female,Non-Indigenous,—,—,0.3,0.7,1,2.3,6.8,2.7,1.1,13,14,1.5,15.5
2021-22,Female,Not stated,—,—,—,—,—,—,—,—,—,—,—,—,—
