age,nsw,vic,qld,wa,sa,tas,act,nt,australia
10–13,160,12,214,184,56,13,9,88,736
14,310,59,304,211,80,26,26,104,1120
15,545,157,482,267,123,41,40,111,1766
16,574,178,519,318,146,55,33,144,1967
17,720,229,542,361,136,81,44,206,2319
10–17,2309,635,2061,1341,541,216,152,653,7908
18+,147,419,502,99,68,50,24,361,1670
Total ,2456,1054,2563,1441,609,266,176,1014,9579
