section,duration,nsw,vic,qld,wa,sa,tas,act,nt,australia
,0–90 days (<3 months),7,—,15,10,1,—,—,n.a.,33
,91–182 days (3-<6 months),10,—,73,48,n.p.,—,n.p.,n.a.,153
,183–273 days (6-<9 months),24,—,64,27,15,n.p.,n.p.,n.a.,132
,274–364 days (9-<12 months),9,—,15,12,2,—,—,n.a.,38
,365+ days (12+ months),19,—,20,16,n.p.,n.p.,n.p.,n.a.,86
,Number of successfully completed orders,69,—,187,113,43,24,6,n.a.,442
,Number of orders ended during the year,96,—,316,182,56,36,7,n.a.,693
