indigenous_status,10,11,12,13,14,15,16,17,10_17
First Nations,—,—,10.68,39.136,76.822,177.009,281.456,209.466,101.63
Non-Indigenous,—,—,—,0.528,3.988,8,8.975,11.227,4.133
Total,—,—,0.588,2.556,7.98,18.028,23.957,22.116,9.497
