year,indigenous_status,sex,nsw,vic,qld,wa,sa,tas,act,nt,australia
2020-21,First Nations,Male,59.3,105.2,103.2,83,51.5,n.p.,n.p.,70.1,80.1
2020-21,First Nations,Female,22.7,47.9,44.1,44.3,41.3,n.p.,n.p.,55.8,37.9
2020-21,First Nations,Total,52,99,90.8,76,48.8,89.1,43.8,68.5,72
2020-21,Non-Indigenous,Male,57.4,100.4,83.5,49,32.9,83.2,61.9,65.7,71.3
2020-21,Non-Indigenous,Female,25.8,47.3,46.8,15.7,27.3,26.6,17.5,14,32.4
2020-21,Non-Indigenous,Total,52,93.7,76.7,42.7,31.9,65.5,46.8,59.3,64.6
2020-21,Total,Male,57,101,95.1,71,41.1,85.6,54.4,69.9,74.6
2020-21,Total,Female,23.6,47.3,44.8,33.9,34.6,26.6,23.5,51.5,34.6
2020-21,Total,Total,50.8,94.3,85,64.2,39.7,73,44.8,67.8,67.4
2021-22,First Nations,Male,56.8,89.4,114,74.2,52,n.p.,n.p.,73.5,80.1
2021-22,First Nations,Female,21.5,51.2,49.7,31,23.9,n.p.,n.p.,43.9,36.5
2021-22,First Nations,Total,50.6,82.1,100,63.7,44.7,94.4,62.8,68.3,71.1
2021-22,Non-Indigenous,Male,60.2,97.8,102.6,43.2,45.1,71,75.7,72.6,74
2021-22,Non-Indigenous,Female,23.5,45.9,55,38.4,23.6,37.2,15.5,44.5,35.7
2021-22,Non-Indigenous,Total,54.5,90.8,93.9,42.4,40.6,60.8,54.9,67.5,67.5
2021-22,Total,Male,58,96.5,109.8,63.8,48.3,81.1,68.8,73,76.9
2021-22,Total,Female,22.8,46.9,51.4,32.8,23.7,37.2,29.9,45.4,36.2
2021-22,Total,Total,52.1,89.4,97.8,57,42.6,72.5,56,68.1,69.2
2022-23,First Nations,Male,58.5,84.4,114.4,58.1,41.7,98.6,61.6,69.8,75.8
2022-23,First Nations,Female,15,30.3,64.4,21.1,28.9,89,48,57.3,38
2022-23,First Nations,Total,50.8,79,103.4,50.3,37.7,95.8,57.7,67.7,68.1
2022-23,Non-Indigenous,Male,56.3,96.4,110.4,35.5,39.1,88.4,n.p.,n.p.,71.1
2022-23,Non-Indigenous,Female,18.6,50.1,60.2,31.7,24.6,50.9,n.p.,n.p.,33.2
2022-23,Non-Indigenous,Total,49.1,90.9,102.7,34.8,36,81,61.2,96.5,64.5
2022-23,Total,Male,56.5,94.4,112.9,50.1,40.4,91.1,68.7,70.4,73.2
2022-23,Total,Female,16.3,47.4,63.4,24.7,27.3,65.5,30.9,60.3,35.8
2022-23,Total,Total,49,89,103,44.9,36.9,85.4,57.9,68.5,66
2023-24,First Nations,Male,69.5,90.9,117.9,50.5,39.3,76.3,58.3,60.5,77.4
2023-24,First Nations,Female,18.1,71,76.6,16.8,25.6,89.9,22.3,23.4,36.7
2023-24,First Nations,Total,59.3,89.8,109.7,43.3,34.9,81.8,48.4,54,69
2023-24,Non-Indigenous,Male,56,104.3,103.4,37.5,43.5,85.1,n.p.,n.p.,71.2
2023-24,Non-Indigenous,Female,18.4,36.1,49.3,24.2,50.1,34.8,n.p.,n.p.,28.7
2023-24,Non-Indigenous,Total,47.2,97.6,93.8,34.8,44.5,73.7,52.2,75.3,63.1
2023-24,Total,Male,62.5,102,112.9,45.7,41.3,82.8,61.4,61.9,74.4
2023-24,Total,Female,17.8,39.4,68.4,19.4,31.8,59.8,15.8,23.1,33.2
2023-24,Total,Total,52.8,96.4,104.4,40.2,38.9,76.3,49.6,55.3,66.1
2024-25,First Nations,Male,73.3,110.7,117.3,39.4,50.2,95.6,80.6,54,76.2
2024-25,First Nations,Female,20.3,107,67.2,9.1,24.3,54,42.2,22.4,33.2
2024-25,First Nations,Total,62.8,110.3,106.1,31.7,42,85.6,69.7,49.4,66.8
2024-25,Non-Indigenous,Male,53.5,108.5,97.8,42.1,48.3,80.2,n.p.,n.p.,72.6
2024-25,Non-Indigenous,Female,18.8,60,73.9,24.9,35,66.7,n.p.,n.p.,35.5
2024-25,Non-Indigenous,Total,47,106,93.4,38.8,45.7,77.3,66.9,74.3,66.5
2024-25,Total,Male,62.4,108.5,110.7,40.3,49.4,85.4,82.3,55.9,73.9
2024-25,Total,Female,19.3,73.4,68.8,13.5,27.8,61.9,27.2,21.9,33.7
2024-25,Total,Total,54.1,106.3,102,34.1,43.7,80.2,67.9,51,66.1
