year,sex,indigenous_status,10,11,12,13,10_13,14,15,16,17,14_17,10_17,18plus,total
2020-21,Male,First Nations,—,0.1,0.2,0.7,1,1.1,2.7,3.5,2.9,10.3,11.3,1.3,12.6
2020-21,Male,Non-Indigenous,—,0.1,0.1,0.2,0.4,0.6,2.6,1.7,3.5,8.4,8.8,1.4,10.2
2020-21,Male,Not stated,—,—,—,—,—,—,—,—,—,—,—,—,—
2020-21,Male,Total,—,0.2,0.3,0.9,1.4,1.7,5.3,5.2,6.5,18.7,20.1,2.6,22.7
2020-21,Female,First Nations,—,—,—,0.3,0.3,0.4,1,1,0.6,3.1,3.4,0.2,3.6
2020-21,Female,Non-Indigenous,—,—,0.1,0.2,0.3,0.4,0.3,0.4,0.5,1.5,1.9,—,1.9
2020-21,Female,Not stated,—,—,—,—,—,—,—,—,—,—,—,—,—
2020-21,Female,Total,—,—,0.1,0.5,0.6,0.8,1.3,1.5,1.1,4.6,5.2,0.2,5.5
2020-21,Total,First Nations,—,0.1,0.3,0.9,1.3,1.5,3.7,4.5,3.6,13.4,14.7,1.5,16.2
2020-21,Total,Non-Indigenous,—,0.1,0.2,0.4,0.7,1,2.9,2.2,4,10,10.7,1.4,12.1
2020-21,Total,Not stated,—,—,—,—,—,—,—,—,—,—,—,—,—
2020-21,Total,Total,—,0.2,0.4,1.4,2,2.5,6.6,6.7,7.6,23.3,25.3,2.9,28.2
2021-22,Male,First Nations,—,—,0.2,0.8,1,1.7,3.2,3.5,3.9,12.2,13.2,1.9,15.1
2021-22,Male,Non-Indigenous,—,—,0.3,0.5,0.8,0.6,2.5,4.4,4.6,12.1,12.9,2,15
2021-22,Male,Not stated,—,—,—,—,—,—,—,—,—,—,—,—,—
2021-22,Male,Total,—,—,0.5,1.2,1.8,2.3,5.7,7.9,8.5,24.3,26.1,3.9,30
2021-22,Female,First Nations,—,—,—,0.3,0.3,0.4,0.2,1,0.5,2.1,2.4,—,2.4
2021-22,Female,Non-Indigenous,—,—,—,0.1,0.1,0.4,0.4,0.2,0.9,2,2.1,—,2.1
2021-22,Female,Not stated,—,—,—,—,—,—,—,—,—,—,—,—,—
2021-22,Female,Total,—,—,0.1,0.3,0.4,0.8,0.6,1.2,1.4,4.1,4.5,—,4.5
2021-22,Total,First Nations,—,—,0.3,1,1.3,2.1,3.3,4.5,4.4,14.3,15.6,1.9,17.5
2021-22,Total,Non-Indigenous,—,—,0.3,0.5,0.9,1.1,2.9,4.6,5.5,14.1,15,2,17
2021-22,Total,Not stated,—,—,—,—,—,—,—,—,—,—,—,—,—
2021-22,Total,Total,—,0.1,0.6,1.5,2.2,3.1,6.2,9.2,9.9,28.4,30.6,3.9,34.5
2022-23,Male,First Nations,—,—,—,0.1,0.2,2.3,3.8,3.2,3.3,12.5,12.7,1.2,13.9
2022-23,Male,Non-Indigenous,—,—,—,0.4,0.4,1,1.9,3.2,5.4,11.6,12,1.1,13.1
2022-23,Male,Not stated,—,—,—,—,—,—,—,—,—,—,—,—,—
2022-23,Male,Total,—,—,—,0.5,0.6,3.3,5.7,6.4,8.7,24.1,24.7,2.3,27
2022-23,Female,First Nations,—,—,0.1,0.1,0.2,1,1.1,0.7,1.3,4,4.2,0.1,4.3
2022-23,Female,Non-Indigenous,—,—,—,—,—,0.2,0.8,0.7,0.4,2.1,2.1,—,2.1
2022-23,Female,Not stated,—,—,—,—,—,—,—,—,—,—,—,—,—
2022-23,Female,Total,—,—,0.1,0.1,0.3,1.2,1.8,1.4,1.7,6.1,6.3,0.1,6.4
2022-23,Total,First Nations,—,—,0.2,0.2,0.4,3.3,4.9,3.8,4.6,16.5,17,1.3,18.3
2022-23,Total,Non-Indigenous,—,—,—,0.5,0.5,1.2,2.7,3.9,5.8,13.7,14.1,1.1,15.2
2022-23,Total,Not stated,—,—,—,—,—,—,—,—,—,—,—,—,—
2022-23,Total,Total,—,—,0.2,0.7,0.9,4.5,7.5,7.8,10.4,30.2,31.1,2.4,33.5
2023-24,Male,First Nations,—,—,0.3,0.5,0.8,1.7,3.8,2.7,3.3,11.5,12.3,1.3,13.6
2023-24,Male,Non-Indigenous,—,—,—,—,0.1,1.5,1.5,4.2,4.1,11.3,11.4,1.9,13.3
2023-24,Male,Not stated,—,—,—,—,—,—,—,—,—,—,—,—,—
2023-24,Male,Total,—,—,0.3,0.6,0.9,3.3,5.3,6.8,7.4,22.8,23.7,3.2,26.9
2023-24,Female,First Nations,—,—,0.1,0.1,0.1,0.9,1.5,0.9,0.7,4,4.1,—,4.1
2023-24,Female,Non-Indigenous,—,—,—,—,—,—,—,1,1.7,2.7,2.7,—,2.7
2023-24,Female,Not stated,—,—,—,—,—,—,—,—,—,—,—,—,—
2023-24,Female,Total,—,—,0.1,0.1,0.1,0.9,1.5,1.9,2.4,6.7,6.9,—,6.9
2023-24,Total,First Nations,—,—,0.3,0.6,0.9,2.6,5.3,3.5,4,15.5,16.4,1.3,17.7
2023-24,Total,Non-Indigenous,—,—,—,0.1,0.1,1.6,1.6,5.2,5.8,14.1,14.2,1.9,16.1
2023-24,Total,Not stated,—,—,—,—,—,—,—,—,—,—,—,—,—
2023-24,Total,Total,—,—,0.4,0.6,1,4.2,6.8,8.7,9.8,29.5,30.5,3.2,33.8
2024-25,Male,First Nations,—,—,0.4,1.2,1.6,1.5,3.4,5.9,4.1,14.9,16.6,1,17.6
2024-25,Male,Non-Indigenous,—,—,—,0.5,0.5,1.4,2.9,5.1,5.4,14.8,15.2,1.8,17.1
2024-25,Male,Not stated,—,—,—,—,—,—,—,—,0.3,0.3,0.3,—,0.4
2024-25,Male,Total,—,—,0.4,1.7,2.1,2.9,6.3,11,9.8,30,32.1,2.9,35
2024-25,Female,First Nations,—,—,—,0.1,0.2,0.3,0.8,2,0.6,3.7,3.9,—,3.9
2024-25,Female,Non-Indigenous,—,—,—,—,—,0.2,0.2,0.4,1.4,2.2,2.2,0.9,3.1
2024-25,Female,Not stated,—,—,—,—,—,—,—,—,—,—,—,—,—
2024-25,Female,Total,—,—,—,0.1,0.2,0.5,1,2.4,2,5.9,6.1,0.9,7
2024-25,Total,First Nations,—,—,0.4,1.4,1.8,1.9,4.2,7.9,4.7,18.6,20.4,1.1,21.5
2024-25,Total,Non-Indigenous,—,—,—,0.5,0.5,1.6,3.1,5.5,6.8,16.9,17.4,2.7,20.1
2024-25,Total,Not stated,—,—,—,—,—,—,—,—,0.3,0.3,0.3,—,0.4
2024-25,Total,Total,—,—,0.4,1.8,2.3,3.4,7.3,13.5,11.8,35.9,38.2,3.8,42
