year,sex,indigenous_status,nsw,vic,qld,wa,sa,tas,act,nt,australia_excl_nt,australia
2020-21,Male,First Nations,298.1,53.2,419,167.4,47.3,18,4.9,56.7,1008,1064.7
2020-21,Male,Non-Indigenous,380.2,234.3,246,125.3,61.7,32.5,29.9,2.8,1109.9,1112.7
2020-21,Male,Not stated,30.5,—,3.2,—,—,1.7,—,0.7,35.3,36
2020-21,Male,Total,708.8,287.5,668.2,292.8,109,52.2,34.8,60.2,2153.2,2213.4
2020-21,Female,First Nations,92.3,11.1,180.3,40.9,15.9,5.7,1.7,9.4,347.9,357.2
2020-21,Female,Non-Indigenous,89.8,54.6,72.1,27.3,12.7,14.4,12.2,1.1,283,284.1
2020-21,Female,Not stated,7.7,0.1,—,—,0.6,0.1,—,—,8.5,8.5
2020-21,Female,Total,189.8,65.8,252.4,68.2,29.2,20.2,13.8,10.5,639.4,649.8
2020-21,Not stated,First Nations,0.7,—,—,—,—,—,—,—,0.7,0.7
2020-21,Not stated,Non-Indigenous,—,—,—,—,—,—,—,—,—,—
2020-21,Not stated,Not stated,—,—,—,—,—,—,—,—,—,—
2020-21,Not stated,Total,0.7,—,—,—,—,—,—,—,0.7,0.7
2020-21,Total,First Nations,391.2,64.3,599.3,208.3,63.2,23.8,6.5,66.1,1356.6,1422.6
2020-21,Total,Non-Indigenous,470,288.9,318.1,152.6,74.4,46.9,42.1,3.9,1393,1396.9
2020-21,Total,Not stated,38.2,0.1,3.2,—,0.6,1.8,—,0.7,43.8,44.5
2020-21,Total,Total,899.3,353.3,920.6,360.9,138.2,72.4,48.6,70.6,2793.3,2864
2021-22,Male,First Nations,290.6,42.1,410.3,187,53.6,15.5,3,77.3,1002.1,1079.4
2021-22,Male,Non-Indigenous,335.9,192.8,242.3,119.1,66.9,22.2,20.9,5.3,1000.2,1005.5
2021-22,Male,Not stated,22.1,—,1.5,—,0.3,0.1,—,1.8,24,25.8
2021-22,Male,Total,648.6,234.9,654.1,306.1,120.8,37.8,24,84.4,2026.3,2110.7
2021-22,Female,First Nations,78.2,7.8,188.4,49.5,16.6,5.1,1.7,16.2,347.3,363.6
2021-22,Female,Non-Indigenous,81.7,45.2,73.1,30.1,13.1,14.7,13.3,0.2,271.3,271.5
