sex,indigenous_status,10,11,12,13,14,15,16,17
Male,First Nations,0.012,0.619,4.832,17.354,38.805,72.773,101.559,116.709
Male,Non-Indigenous,—,0.001,0.024,0.366,1.367,3.386,4.806,5.636
Male,Total,0.001,0.042,0.338,1.471,3.809,7.957,11.254,12.991
Female,First Nations,—,0.01,1.818,3.477,7.405,12.108,12.685,10.282
Female,Non-Indigenous,0,0.034,0.022,0.122,0.145,0.281,0.629,0.559
Female,Total,0,0.032,0.139,0.344,0.632,1.07,1.442,1.21
Total,First Nations,0.006,0.328,3.368,10.544,23.405,43.066,58.195,64.626
Total,Non-Indigenous,0,0.017,0.023,0.248,0.773,1.878,2.779,3.175
Total,Total,0.001,0.037,0.241,0.923,2.263,4.609,6.489,7.277
