remoteness_area,nsw,vic,qld,wa,sa,tas,act,nt,australia
Major cities of Australia,1.679,0.959,3.341,1.904,2.074,. .,4.598,. .,1.919
Inner regional Australia,3.262,1.102,3.935,1.599,0.403,3.821,—,. .,2.695
Outer regional Australia,3.855,0.532,12.149,4.571,3.41,0.753,. .,11.129,6.694
Remote Australia,11.381,—,18.581,4.886,1.883,—,. .,27.243,12.128
Very remote Australia,51.758,. .,11.426,16.386,3.264,—,. .,13.977,14.443
