indigenous_status,10,11,12,13,14,15,16,17,10_17
First Nations,—,0.44,0.985,4.783,14.394,29.456,45.538,55.806,18.927
Non-Indigenous,—,—,—,0.188,0.623,1.696,2.094,2.258,0.858
Total,—,—,0.086,0.537,1.654,3.782,5.368,6.285,2.216
