indigenous_status,age_group,nsw,vic,qld,wa,sa,tas,act,nt,australia
First Nations,10–13 years,29.363,—,62.018,141.336,83.718,n.p.,n.p.,146.905,61.007
First Nations,14–17 years,347.111,160.785,460.581,632.675,514.811,n.p.,n.p.,928.181,443.143
First Nations,10–17 years,188.329,83.811,264.386,388.583,304.6,131.384,438.556,535.793,254.156
Non—Indigenous,10–13 years,1.585,0.243,2.215,2.703,2.033,n.p.,n.p.,—,1.552
Non—Indigenous,14–17 years,25.126,15.6,23.762,35.643,26.405,n.p.,n.p.,33.091,24.538
Non—Indigenous,10–17 years,13.357,7.864,13.123,19.073,14.307,27.317,31.753,16.055,13.1
Total,10–13 years,3.848,0.357,7.456,12.193,6.344,4.949,7.838,61.294,5.533
Total,14–17 years,51.673,18.8,62.729,77.474,54.052,73.087,63.942,427.318,53.358
Total,10–17 years,27.764,9.512,35.446,44.664,30.392,39.967,44.908,236.774,29.569
