,nsw,vic,qld,wa,sa,tas,act,nt,australia
2020-21,132.1,93.1,216.1,62.1,23.6,6.7,8.6,27.6,570.1
2021-22,136.6,73.1,259,73.8,29.3,6.9,8.2,42.9,629.7
2022-23,142.3,72.7,285.2,61.3,30,11.7,9.8,49.1,662
2023-24,164.2,59.6,287.1,52.1,30.5,13.1,12.7,45.7,665.1
2024-25,168.1,77.4,275.6,51,38.1,13.4,18,46.5,688.1
