year,sex,indigenous_status,10,11,12,13,10_13,14,15,16,17,14_17,10_17,18plus,total
2020-21,Male,First Nations,—,—,0.2,3,3.1,7.3,11.5,15.2,16,50,53.2,33.4,86.5
2020-21,Male,Non-Indigenous,—,0.2,1,4.3,5.5,13.1,42,73.4,100.2,228.8,234.3,249.4,483.7
2020-21,Male,Not stated,—,—,—,—,—,—,—,—,—,—,—,—,—
2020-21,Male,Total,—,0.2,1.2,7.3,8.7,20.4,53.5,88.6,116.2,278.8,287.5,282.7,570.2
2020-21,Female,First Nations,—,—,—,—,—,0.5,2.4,4.6,3.7,11.1,11.1,7.1,18.2
2020-21,Female,Non-Indigenous,—,—,—,0.3,0.3,3.9,13.8,15.1,21.5,54.2,54.6,44.1,98.7
2020-21,Female,Not stated,—,—,—,—,—,0.1,—,—,—,0.1,0.1,—,0.1
2020-21,Female,Total,—,—,—,0.3,0.3,4.4,16.2,19.7,25.2,65.5,65.8,51.2,117
2020-21,Total,First Nations,—,—,0.2,3,3.1,7.8,13.9,19.8,19.6,61.2,64.3,40.4,104.7
2020-21,Total,Non-Indigenous,—,0.2,1,4.6,5.9,17,55.8,88.5,121.7,283,288.9,293.5,582.4
2020-21,Total,Not stated,—,—,—,—,—,0.1,—,—,—,0.1,0.1,—,0.1
2020-21,Total,Total,—,0.2,1.2,7.6,9,24.9,69.7,108.3,141.4,344.3,353.3,333.9,687.2
2021-22,Male,First Nations,—,—,—,0.9,0.9,3.6,7.8,11.2,18.6,41.3,42.1,32.6,74.7
2021-22,Male,Non-Indigenous,—,—,1.6,2.7,4.3,10.6,27,62.7,88.1,188.5,192.8,247.9,440.7
2021-22,Male,Not stated,—,—,—,—,—,—,—,—,—,—,—,—,—
2021-22,Male,Total,—,—,1.6,3.6,5.2,14.2,34.9,74,106.6,229.7,234.9,280.6,515.4
2021-22,Female,First Nations,—,—,—,—,—,—,1.4,3,3.4,7.8,7.8,7.3,15.1
2021-22,Female,Non-Indigenous,—,—,—,0.4,0.4,3.4,7.7,18.8,14.9,44.8,45.2,34.9,80.1
2021-22,Female,Not stated,—,—,—,—,—,—,—,—,—,—,—,—,—
2021-22,Female,Total,—,—,—,0.4,0.4,3.4,9.1,21.8,18.3,52.6,53,42.3,95.3
2021-22,Total,First Nations,—,—,—,0.9,0.9,3.6,9.7,14.2,22,49.6,50.4,40,90.4
2021-22,Total,Non-Indigenous,—,—,1.6,3.1,4.7,14,34.7,81.6,102.9,233.3,238,282.9,520.9
2021-22,Total,Not stated,—,—,—,—,—,—,—,—,—,—,—,—,—
2021-22,Total,Total,—,—,1.6,3.9,5.6,17.7,44.4,95.8,124.9,282.8,288.4,322.8,611.3
2022-23,Male,First Nations,—,—,—,0.7,0.7,0.8,5.6,10,14.9,31.3,32,42.5,74.5
2022-23,Male,Non-Indigenous,—,—,0.3,3,3.3,11.2,29,39.1,85.9,165.3,168.5,188.6,357.1
2022-23,Male,Not stated,—,—,—,—,—,—,—,—,—,—,—,—,—
2022-23,Male,Total,—,—,0.3,3.7,4,12,34.6,49.1,100.8,196.6,200.6,231.1,431.6
2022-23,Female,First Nations,—,—,0.3,—,0.3,0.6,0.7,2.4,1.1,4.9,5.2,5.8,11
2022-23,Female,Non-Indigenous,—,—,—,—,—,1.8,5.6,8,14.1,29.4,29.4,18.6,48
2022-23,Female,Not stated,—,—,—,—,—,—,—,—,—,—,—,—,—
2022-23,Female,Total,—,—,0.3,—,0.3,2.4,6.2,10.4,15.2,34.3,34.6,24.4,59
2022-23,Total,First Nations,—,—,0.3,0.7,1,1.4,6.2,12.7,16,36.4,37.4,48.3,85.7
2022-23,Total,Non-Indigenous,—,—,0.3,3,3.3,13,34.6,47.1,100,194.7,198,207.2,405.2
2022-23,Total,Not stated,—,—,—,—,—,—,—,—,—,—,—,—,—
2022-23,Total,Total,—,—,0.6,3.7,4.3,14.5,40.8,59.8,116,231.1,235.4,255.5,490.9
2023-24,Male,First Nations,—,—,—,0.5,0.5,1.9,5.6,10.7,15.3,33.5,34,29,63
2023-24,Male,Non-Indigenous,—,—,0.2,0.7,0.9,10.4,33,48.7,57.4,149.4,150.3,154.5,304.8
2023-24,Male,Not stated,—,—,—,—,—,—,—,—,—,—,—,—,—
2023-24,Male,Total,—,—,0.2,1.2,1.4,12.2,38.6,59.4,72.7,182.9,184.3,183.4,367.8
2023-24,Female,First Nations,—,—,—,—,—,0.4,1.9,1,0.9,4.1,4.1,3.1,7.3
2023-24,Female,Non-Indigenous,—,—,—,—,—,1.3,4.2,9.2,13.5,28.2,28.2,20.4,48.6
2023-24,Female,Not stated,—,—,—,—,—,—,—,—,—,—,—,—,—
2023-24,Female,Total,—,—,—,—,—,1.6,6.1,10.2,14.4,32.3,32.3,23.6,55.8
2023-24,Total,First Nations,—,—,—,0.5,0.5,2.2,7.5,11.6,16.2,37.6,38.1,32.1,70.2
2023-24,Total,Non-Indigenous,—,—,0.2,0.7,0.9,11.7,37.1,57.9,70.9,177.6,178.5,174.9,353.4
2023-24,Total,Not stated,—,—,—,—,—,—,—,—,—,—,—,—,—
2023-24,Total,Total,—,—,0.2,1.2,1.4,13.9,44.6,69.6,87.1,215.2,216.6,207,423.6
2024-25,Male,First Nations,—,0.1,—,0.2,0.4,1.9,7.1,8.4,18.2,35.6,36,33,68.9
2024-25,Male,Non-Indigenous,—,—,—,0.8,0.8,9.7,34.5,59.1,59.9,163.2,164.1,138.9,302.9
2024-25,Male,Not stated,—,—,—,—,—,—,0.2,0.2,—,0.4,0.4,—,0.4
2024-25,Male,Total,—,0.1,—,1.1,1.2,11.6,41.8,67.7,78.1,199.2,200.4,171.8,372.2
2024-25,Female,First Nations,—,—,—,—,—,0.1,1.5,2.1,2.4,6.2,6.2,3.5,9.6
2024-25,Female,Non-Indigenous,—,—,—,—,—,1,4.8,7.2,9.1,22.1,22.1,15.4,37.5
2024-25,Female,Not stated,—,—,—,—,—,—,—,—,—,—,—,—,—
2024-25,Female,Total,—,—,—,—,—,1.1,6.3,9.3,11.6,28.3,28.3,18.8,47.1
2024-25,Total,First Nations,—,0.1,—,0.2,0.4,2,8.6,10.6,20.6,41.8,42.1,36.4,78.6
2024-25,Total,Non-Indigenous,—,—,—,0.8,0.8,10.7,39.3,66.3,69,185.4,186.2,154.2,340.4
2024-25,Total,Not stated,—,—,—,—,—,—,0.2,0.2,—,0.4,0.4,—,0.4
2024-25,Total,Total,—,0.1,—,1.1,1.2,12.7,48.1,77.1,89.6,227.5,228.7,190.7,419.4
