sex,socioeconomic_areas,first_nations,non_indigenous,not_stated,total
Male,1 (lowest),864,492,12,1368
Male,2,641,361,20,1022
Male,3,332,328,5,665
Male,4,158,231,8,397
Male,5 (highest),88,167,2,257
Female,1 (lowest),204,87,1,292
Female,2,187,76,5,268
Female,3,93,49,2,144
Female,4,62,49,—,111
Female,5 (highest),28,47,—,75
Not stated,1 (lowest),—,—,—,—
Not stated,2,—,1,—,1
Not stated,3,—,1,—,1
Not stated,4,—,—,—,—
Not stated,5 (highest),—,—,—,—
Total,1 (lowest),1068,579,13,1660
Total,2,828,438,25,1291
Total,3,425,378,7,810
Total,4,220,280,8,508
Total,5 (highest),116,214,2,332
Total,Total in detention,2714,1966,62,4742
