indigenous_status,10,11,12,13,14,15,16,17,10_17
First Nations,—,3.275,19.868,56.035,124.718,210.4,246.329,245.345,115.002
Non-Indigenous,—,—,0.242,1.849,3.765,8.276,12.5,13.337,5.064
Total,—,0.326,1.983,6.633,14.391,26.096,33.37,34.1,14.79
