section,duration,nsw,vic,qld,wa,sa,tas,act,nt,australia
,0–90 days (<3 months),34,3,12,33,—,—,—,n.a.,82
,91–182 days (3-<6 months),143,n.p.,24,59,—,n.p.,—,n.a.,253
,183–273 days (6-<9 months),78,n.p.,31,32,—,n.p.,n.p.,n.a.,150
,274–364 days (9-<12 months),66,4,38,16,—,—,—,n.a.,124
,365+ days (12+ months),40,8,28,9,—,—,—,n.a.,85
,Number of breached orders,361,43,133,149,—,n.p.,n.p.,n.a.,694
,Number of orders ended during the year,4026,408,2068,770,128,85,44,n.a.,7529
