section,age,nsw,vic,qld,wa,sa,tas,act,nt,australia
,10–13,149,5,124,139,48,7,6,33,511
,14,224,31,169,132,56,12,19,51,694
,15,355,97,224,161,74,9,29,73,1022
,16,335,97,265,189,90,19,23,75,1093
,17,407,121,273,188,71,23,22,98,1203
,10–17,1470,351,1055,809,339,70,99,330,4523
,18+,91,91,22,—,12,n.p.,n.p.,3,219
,Total,1561,442,1077,809,351,70,99,333,4742
