socioeconomic_areas,nsw,vic,qld,wa,sa,tas,act,nt,australia
1 (lowest),227.6,67.6,400.3,99.2,99.3,68,—,—,961.9
2,208.7,37.1,235.7,131,29,16.9,—,—,658.4
3,96.9,58.3,146.5,68.4,26.7,8.2,0.2,—,405.1
4,64.5,29.5,54.9,55.5,9.4,3.3,17.9,—,234.9
5 (highest),68.4,18.2,18,13.8,0.7,0.3,24.6,—,144
Total under community-based supervision,739.47,228.7,859.98,367.85,169.05,96.42,47.36,n.a.,2508.82
