year,sex,indigenous_status,10,11,12,13,10_13,14,15,16,17,14_17,10_17,18plus,total
2020-21,Male,First Nations,—,—,1,6.9,7.8,24.6,73.6,92,100,290.3,298.1,31.5,329.6
2020-21,Male,Non-Indigenous,—,—,0.4,4.8,5.1,27.7,80.4,120.2,146.7,375.1,380.2,38.8,419
2020-21,Male,Not stated,—,—,—,—,—,0.9,3.9,9.5,16.2,30.5,30.5,2.8,33.3
2020-21,Male,Total,—,—,1.4,11.6,13,53.2,157.9,221.7,262.9,695.8,708.8,73,781.9
2020-21,Female,First Nations,—,—,—,0.5,0.5,8.5,20.6,33.3,29.3,91.8,92.3,4.8,97.1
2020-21,Female,Non-Indigenous,—,—,0.4,0.7,1.1,10.5,20.6,30.9,26.8,88.7,89.8,7.8,97.6
2020-21,Female,Not stated,—,—,0.2,0.8,1.1,1.4,0.7,0.9,3.7,6.6,7.7,0.3,8
2020-21,Female,Total,—,—,0.6,2,2.7,20.4,41.9,65,59.8,187.2,189.8,12.9,202.7
2020-21,Total,First Nations,—,—,1,7.4,8.4,33.2,94.6,125.7,129.4,382.8,391.2,36.3,427.4
2020-21,Total,Non-Indigenous,—,—,0.8,5.4,6.2,38.2,101,151.1,173.5,463.8,470,46.6,516.6
2020-21,Total,Not stated,—,—,0.2,0.8,1.1,2.2,4.5,10.4,19.9,37.1,38.2,3.1,41.3
2020-21,Total,Total,—,—,2,13.7,15.6,73.7,200.1,287.2,322.8,883.7,899.3,86,985.3
2021-22,Male,First Nations,—,—,1,4.3,5.3,24.4,57.3,94.3,109.3,285.3,290.6,29.1,319.8
2021-22,Male,Non-Indigenous,—,—,0.4,1.9,2.3,18.8,56.9,110.8,147.1,333.6,335.9,40.4,376.3
2021-22,Male,Not stated,—,—,—,—,—,1.1,3.6,6.7,10.6,22.1,22.1,3.4,25.4
2021-22,Male,Total,—,—,1.4,6.2,7.6,44.3,117.8,211.8,267,641,648.6,72.9,721.5
2021-22,Female,First Nations,—,—,—,1,1,7.2,17.5,24,28.5,77.2,78.2,6.2,84.4
2021-22,Female,Non-Indigenous,—,—,0.1,3.3,3.4,9.5,18.7,29.2,20.9,78.3,81.7,6.6,88.3
2021-22,Female,Not stated,—,—,—,0.8,0.8,0.8,1.4,2.1,2.1,6.5,7.3,0.7,7.9
2021-22,Female,Total,—,—,0.1,5.1,5.2,17.6,37.5,55.4,51.4,161.9,167.2,13.4,180.6
2021-22,Total,First Nations,—,—,1,5.3,6.3,31.6,74.8,118.9,137.8,363.1,369.4,35.3,404.8
2021-22,Total,Non-Indigenous,—,—,0.5,5.3,5.7,28.3,75.6,140.6,168.1,412.7,418.4,47,465.5
2021-22,Total,Not stated,—,—,—,0.8,0.8,2,5,8.9,12.7,28.5,29.3,4,33.4
2021-22,Total,Total,—,—,1.5,11.3,12.9,61.9,155.4,268.4,318.7,804.4,817.2,86.4,903.6
2022-23,Male,First Nations,—,—,0.2,2.4,2.6,23.1,73.3,101,105.1,302.4,305,28.5,333.6
2022-23,Male,Non-Indigenous,—,—,—,0.3,0.3,16.4,50.8,83.9,107.8,258.9,259.1,30.3,289.4
2022-23,Male,Not stated,—,—,—,—,—,0.7,6,3.4,12.2,22.2,22.2,3.2,25.5
2022-23,Male,Total,—,—,0.2,2.7,2.9,40.2,130,188.2,225.1,583.5,586.4,62,648.4
2022-23,Female,First Nations,—,—,0.5,0.4,1,6.2,21.9,26,21,75.1,76.1,5.1,81.2
2022-23,Female,Non-Indigenous,—,—,—,1,1,5.8,15.4,18.7,26,65.9,66.9,4.3,71.2
2022-23,Female,Not stated,—,—,—,—,—,1.4,1.7,1.4,1.4,6,6,0.4,6.3
2022-23,Female,Total,—,—,0.5,1.5,2,13.5,39,46.2,48.4,147,149,9.8,158.7
2022-23,Total,First Nations,—,—,0.7,2.9,3.6,29.3,95.2,127,126.1,377.5,381.1,33.6,414.8
2022-23,Total,Non-Indigenous,—,—,—,1.3,1.3,22.9,66.2,102.6,133.9,325.5,326.9,34.5,361.4
