year,supervision,first_nations,non_indigenous,not_stated,total
2020-21,First year of supervision,931,1325,82,2338
2020-21,Previously supervised,2873,3046,70,5989
2020-21,Total,3804,4371,152,8327
2021-22,First year of supervision,1071,1186,48,2305
2021-22,Previously supervised,2781,2829,69,5679
2021-22,Total,3852,4015,117,7984
2022-23,First year of supervision,1233,1315,79,2627
2022-23,Previously supervised,2931,2391,42,5364
2022-23,Total,4164,3706,121,7991
2023-24,First year of supervision,1259,1220,54,2533
2023-24,Previously supervised,3177,2290,64,5531
2023-24,Total,4436,3510,118,8064
2024-25,First year of supervision,1260,1292,82,2634
2024-25,Previously supervised,3424,2185,58,5667
2024-25,Total,4684,3477,140,8301
