socioeconomic_areas,nsw,vic,qld,wa,sa,tas,act,nt,australia
1 (lowest),421,76,427,218,192,44,—,128,1506
2,443,60,304,256,57,13,. .,75,1208
3,182,92,172,172,45,n.p.,n.p.,71,741
4,150,39,60,109,25,n.p.,n.p.,43,468
5 (highest),173,28,20,37,2,—,49,—,309
Total in detention,1470,351,1055,809,339,70,99,330,4523
