socioeconomic_areas,nsw,vic,qld,wa,sa,tas,act,nt,australia
1 (lowest),19.641,8.349,33.23,29.3,19.199,28.377,—,n.a.,22.649
2,13.583,4.255,25.882,19.291,11.692,16.838,. .,n.a.,15.1
3,10.656,4.663,14.109,12.91,7.412,13.877,—,n.a.,9.671
4,5.488,2.364,7.639,8.2,4.031,5.079,22.437,n.a.,5.59
5 (highest),3.796,1.845,3.587,5,0.477,2.295,15.267,n.a.,3.794
