none,nsw,vic,qld,wa,sa,tas,act,nt,australia
2020-21,281,200,145,140,22,11,14,45,858
2021-22,226,151,174,155,28,11,12,72,829
2022-23,196,105,166,121,24,20,16,131,779
2023-24,199,93,208,141,19,21,6,129,816
2024-25,222,114,173,101,35,n.p.,n.p.,157,822
