indigenous_status,10,11,12,13,14,15,16,17,12_17
First Nations,—,—,4.884,37.539,17.958,77.964,99.642,74.748,51.855
Non-Indigenous,—,—,0.059,0.04,0.687,4.482,9.283,6.775,3.465
Total,—,—,0.213,1.201,1.245,6.82,12.23,9.116,5.026
