sex,indigenous_status,nsw,vic,qld,wa,sa,tas,act,nt,australia
Male,First Nations,183,n.p,34,94,16,n.p,n.p,n.p,341
Male,Non-Indigenous,243,n.p,30,43,26,n.p,n.p,n.p,369
Male,Not stated,32,—,1,—,—,—,—,1,34
Male,Total,458,17,65,137,42,n.p,n.p,6,744
Female,First Nations,66,n.p,8,52,12,n.p,n.p,n.p,142
Female,Non-Indigenous,70,n.p,2,22,12,n.p,n.p,n.p,114
Female,Not stated,7,—,1,—,1,—,—,—,9
Female,Total,143,4,11,74,25,n.p,n.p,1,265
Total,First Nations,249,2,42,146,28,n.p,n.p,n.p,483
Total,Non-Indigenous,313,19,32,65,38,n.p,n.p,n.p,483
Total,Not stated,39,—,2,—,1,—,—,1,43
Total,Total,601,21,76,211,67,9,17,7,1009
