sex,socioeconomic_areas,first_nations,non_indigenous,not_stated,total
Male,1 (lowest),186.8,103.2,0.1,290
Male,2,133.8,65.6,0.7,200.1
Male,3,68.1,70.1,1,139.3
Male,4,24.7,38.2,0.8,63.6
Male,5 (highest),19,28.9,—,48
Female,1 (lowest),21.6,11,—,32.6
Female,2,14.2,6.1,0.1,20.4
Female,3,10.9,5.1,—,16.1
Female,4,3.3,4.2,—,7.5
Female,5 (highest),2.2,3,—,5.3
Not stated,1 (lowest),—,—,—,—
Not stated,2,—,—,—,—
Not stated,3,—,—,—,—
Not stated,4,—,—,—,—
Not stated,5 (highest),—,—,—,—
Total,1 (lowest),208.4,114.2,0.1,322.6
Total,2,148.1,71.7,0.8,220.6
Total,3,79.1,75.3,1.1,155.4
Total,4,28,42.5,0.8,71.2
Total,5 (highest),21.3,31.9,—,53.2
Total,Total in detention ,496.9,358.8,3.8,859.5
