number_of_receptions,first_nations,non_indigenous,not_stated,total
1,1303,1004,50,2357
2,600,389,6,995
3,273,180,5,458
4,154,100,—,254
5,100,44,—,144
6+,114,73,—,187
Total,2544,1790,61,4395
