sex,indigenous_status,10,11,12,13,14,15,16,17
Male,First Nations,0.438,2.272,13.363,34.544,100.322,201.07,248.7,287.298
Male,Non-Indigenous,—,—,0.076,1.16,4.068,10.759,17.403,19.808
Male,Total,—,0.149,0.943,3.332,10.398,23.59,33.267,37.975
Female,First Nations,—,0.089,4.427,15.304,45.281,92.926,101.976,92.223
Female,Non-Indigenous,—,—,0.074,0.37,1.367,3.661,4.443,4.591
Female,Total,—,—,0.365,1.354,4.314,9.662,11.085,10.582
Total,First Nations,0.227,1.226,9.022,25.102,73.327,148.114,177.283,191.832
Total,Non-Indigenous,—,—,0.075,0.776,2.755,7.315,11.14,12.469
Total,Total,—,0.089,0.662,2.37,7.438,16.839,22.533,24.727
