indigenous_status,age_group,nsw,vic,qld,wa,sa,tas,act,nt,australia
First Nations,10-13 years,238,12,339,257,78,8,13,97,1042
First Nations,14-17 years,569,45,399,280,108,16,21,222,1660
First Nations,18+ years,5,6,—,—,1,—,—,—,12
First Nations,Total,812,63,738,537,187,24,34,319,2714
Non-Indigenous,10-13 years,128,29,76,55,28,12,13,2,343
Non-Indigenous,14-17 years,561,314,259,217,128,34,52,8,1573
Non-Indigenous,18+ years,10,34,1,—,5,—,—,—,50
Non-Indigenous,Total,699,377,336,272,161,46,65,10,1966
Not stated,10-13 years,9,—,—,—,—,—,—,—,9
Not stated,14-17 years,40,2,3,—,3,—,—,4,52
Not stated,18+ years,1,—,—,—,—,—,—,—,1
Not stated,Total,50,2,3,—,3,—,—,4,62
Total,10-13 years,375,41,415,312,106,20,26,99,1394
Total,14-17 years,1170,361,661,497,239,50,73,234,3285
Total,18+ years,16,40,1,—,6,—,—,—,63
Total,Total,1561,442,1077,809,351,70,99,333,4742
