year,indigenous_status,nsw,vic,qld,wa,sa,tas,act,nt,australia_excl_nt,australia
2015-16,First Nations,504.3,113.3,628.3,360.7,105.6,23,14.9,90.7,1750.1,1840.8
2015-16,Non-Indigenous,541.4,472.2,483.5,200,103.8,52.6,41.6,4.9,1894.9,1899.9
2015-16,Not stated,45.1,0.1,7.9,—,0.6,1.5,—,7,55.1,62.1
2015-16,Total,1090.7,585.5,1119.7,560.7,210,77,56.5,102.6,3700.1,3802.7
2016-17,First Nations,461.7,102.6,634.8,357.5,115.6,20,13.8,104.7,1705.9,1810.6
2016-17,Non-Indigenous,486.9,421.5,462.9,193.2,99.8,53.1,40.6,3.5,1757.9,1761.3
2016-17,Not stated,38.9,0.7,3.5,—,0.5,3.8,—,6.9,47.3,54.3
2016-17,Total,987.4,524.7,1101.2,550.6,215.9,76.9,54.4,115,3511.1,3626.1
2017-18,First Nations,435.4,91.7,718.4,355,87.8,27.7,20.1,93.6,1736,1829.5
2017-18,Non-Indigenous,469,415.5,513.5,192.8,92.2,61.8,55,3.8,1799.8,1803.5
2017-18,Not stated,49.6,1,6.4,—,1.3,4.9,—,3.6,63.1,66.7
2017-18,Total,954,508.2,1238.3,547.8,181.2,94.3,75.1,100.9,3598.9,3699.8
2018-19,First Nations,433.2,84.8,792.4,326,75.3,31.7,13.1,101.4,1756.6,1858
2018-19,Non-Indigenous,511.7,396.2,468.6,223.3,80,68.5,41.8,4.6,1790,1794.6
2018-19,Not stated,34.3,—,4.8,—,1,8.6,—,2,48.6,50.7
2018-19,Total,979.1,480.9,1265.8,549.4,156.3,108.8,54.9,108,3595.2,3703.2
2019-20,First Nations,427.6,69.9,695.8,288.2,81.6,34.7,10.4,101.2,1608.3,1709.4
2019-20,Non-Indigenous,475.5,369.1,387,212,85.8,58.7,39.4,5.4,1627.5,1632.9
2019-20,Not stated,39.4,—,3.2,—,1.5,7.5,—,0.9,51.6,52.4
2019-20,Total,942.5,439,1086.1,500.2,168.9,100.9,49.8,107.5,3287.3,3394.8
2020-21,First Nations,391.2,64.3,599.3,208.3,63.2,23.8,6.5,66.1,1356.6,1422.6
2020-21,Non-Indigenous,470,288.9,318.1,152.6,74.4,46.9,42.1,3.9,1393,1396.9
2020-21,Not stated,38.2,0.1,3.2,—,0.6,1.8,—,0.7,43.8,44.5
2020-21,Total,899.3,353.3,920.6,360.9,138.2,72.4,48.6,70.6,2793.3,2864
2021-22,First Nations,369.4,50.4,599.6,236.4,70.2,20.6,4.8,93.5,1351.5,1445
2021-22,Non-Indigenous,418.4,238,315.4,149.3,80,36.9,34.2,5.6,1272.3,1277.8
2021-22,Not stated,29.3,—,1.5,—,0.4,0.2,—,2.5,31.4,33.9
2021-22,Total,817.2,288.4,916.5,385.7,150.6,57.7,39,101.6,2655.2,2756.8
2022-23,First Nations,381.1,37.4,587.5,286.7,87.3,20.6,7.4,159.1,1408.1,1567.2
2022-23,Non-Indigenous,326.9,198,297.8,163.9,96.2,45.5,33.6,4.9,1161.9,1166.8
2022-23,Not stated,28.2,—,1.7,—,1.6,0.6,0.4,3.6,32.5,36
2022-23,Total,736.1,235.4,887,450.6,185.1,66.8,41.4,167.6,2602.5,2770.1
2023-24,First Nations,386.6,38.1,607.5,259.5,118.1,28.7,13.3,n.a.,1451.9,n.a.
2023-24,Non-Indigenous,311.5,178.5,287.1,170,96.3,49.5,40.8,n.a.,1133.8,n.a.
2023-24,Not stated,25.3,—,1.4,—,0.6,0.4,0.1,n.a.,27.8,n.a.
2023-24,Total,723.5,216.6,896,429.5,215,78.6,54.2,n.a.,2613.4,n.a.
2024-25,First Nations,396.6,42.1,587.7,216,97.1,38.1,15.8,n.a.,1393.3,n.a.
2024-25,Non-Indigenous,317.7,186.2,268.6,151.8,69.6,57.9,31.6,n.a.,1083.4,n.a.
2024-25,Not stated,25.2,0.4,3.7,—,2.3,0.4,—,n.a.,32.1,n.a.
2024-25,Total,739.5,228.7,860,367.8,169.1,96.4,47.4,n.a.,2508.8,n.a.
