indigenous_status,10,11,12,13,14,15,16,17,10_17
First Nations,—,0.076,1.305,13.801,34.821,62.77,65.118,104.056,35.12
Non-Indigenous,—,—,—,0.548,2.033,2.55,1.224,4.462,1.254
Total,—,—,0.516,5.863,15.557,28.177,28.991,49.75,15.364
