remoteness_area,nsw,vic,qld,wa,sa,tas,act,nt,australia
Major cities of Australia,103.8,48.9,125.1,44.6,27.6,. .,15.2,. .,365.3
Inner regional Australia,53.9,14,45.4,4.4,0.7,12.8,—,. .,131.3
Outer regional Australia,15.5,1.3,95.1,9.4,7,1.5,. .,17,146.7
Remote Australia,3.2,—,13.8,5,0.9,—,. .,15.4,38.2
Very remote Australia,3.9,. .,6.7,10.1,0.5,—,. .,8.8,30
Total in detention,184.28,73.86,289.79,73.86,38.22,14.32,17.05,42.37,733.74
