year,sex,nsw,vic,qld,wa,sa,tas,act,nt,australia_excl_nt,australia
2015-16,Male,1235,932,1138.8,662.4,266.6,122.3,54.9,173,4412,4585
2015-16,Female,264.9,156.4,326.6,114.1,49.6,18.8,18,33,948.5,981.5
2015-16,Not stated,—,—,1,0.1,—,—,—,—,1,1
2015-16,Total,1499.9,1088.4,1466.4,776.6,316.2,141.2,73,206,5361.6,5567.6
2016-17,Male,1126.4,887.5,1082.2,665.5,260,108.4,59.6,172.6,4189.7,4362.2
2016-17,Female,255,150,331.7,115.2,58.9,25,17.2,36.8,953.1,989.9
2016-17,Not stated,—,—,1,—,—,—,—,—,1,1
2016-17,Total,1381.4,1037.6,1414.9,780.7,318.9,133.5,76.9,209.4,5143.8,5353.2
2017-18,Male,1108.6,894.6,1247.3,678.2,236.5,101.2,76,171.8,4342.5,4514.3
2017-18,Female,267.3,140.1,373.4,107.7,44.4,33.6,26.5,27.3,993.1,1020.4
2017-18,Not stated,—,—,0.4,—,—,—,—,—,0.4,0.4
2017-18,Total,1376,1034.7,1621.2,785.9,280.9,134.8,102.5,199.1,5336,5535.1
2018-19,Male,1076.5,818.1,1484.8,637.6,203.3,117.6,61.1,191.7,4399.1,4590.8
2018-19,Female,291,135,448.1,134.5,36.4,37.2,17.3,25.2,1099.6,1124.7
2018-19,Not stated,—,0.3,0.1,0.3,—,—,—,—,0.7,0.7
2018-19,Total,1367.5,953.4,1933,772.4,239.7,154.8,78.5,216.9,5499.3,5716.2
2019-20,Male,1040.8,776.7,1353.3,554.4,215.7,109.6,54,195.8,4104.6,4300.4
2019-20,Female,259.8,149.9,418.7,129,39.4,36.1,17.2,23.1,1050.1,1073.2
2019-20,Not stated,0.6,0.3,0.4,0.6,—,—,—,—,1.9,1.9
2019-20,Total,1301.3,926.9,1772.4,684.1,255.1,145.7,71.2,218.9,5156.6,5375.5
2020-21,Male,964.2,719.2,1249.4,462.3,176.2,91.4,52.3,163.1,3715,3878.1
2020-21,Female,219.4,126.6,357,86.8,41.2,27,16.5,19.4,874.5,893.9
2020-21,Not stated,1,—,—,—,—,—,—,—,1,1
2020-21,Total,1184.6,845.8,1606.4,549.1,217.4,118.4,68.7,182.5,4590.4,4772.9
2021-22,Male,893.1,624.5,1255.8,463.4,187.4,70.6,46.4,214,3541.2,3755.2
2021-22,Female,193.6,103.5,365.2,103.9,44.6,26.3,18.4,31.2,855.6,886.7
2021-22,Not stated,1.4,0.5,0.9,—,—,—,—,—,2.8,2.8
2021-22,Total,1088.2,728.6,1621.9,567.3,232,96.9,64.8,245.2,4399.6,4644.7
2022-23,Male,831.4,529.9,1235.7,498.7,196.9,77.6,54.3,295.9,3424.4,3720.3
2022-23,Female,170.4,65.3,352.3,122.3,61.2,30.5,18.3,49.7,820.3,870
2022-23,Not stated,0.8,0.2,1,—,0.2,0.7,—,0.3,3,3.3
2022-23,Total,1002.6,595.4,1589,621,258.3,108.8,72.6,346,4247.7,4593.7
2023-24,Male,824.1,455.3,1233.6,475.3,214.6,90.7,63.8,n.a.,3357.3,n.a.
2023-24,Female,183.1,59.1,358.8,123,79.5,32,23.6,n.a.,859.1,n.a.
2023-24,Not stated,1.1,—,0.5,—,—,0.2,—,n.a.,1.8,n.a.
2023-24,Total,1008.3,514.4,1592.9,598.2,294.1,122.9,87.4,n.a.,4218.2,n.a.
2024-25,Male,844.7,492.5,1191.1,419.6,183.8,114.4,66.8,n.a.,3312.9,n.a.
2024-25,Female,188.7,52.6,364.3,96.5,58.9,46.1,22.5,n.a.,829.5,n.a.
2024-25,Not stated,1.1,—,1.2,—,0.5,2,—,n.a.,4.9,n.a.
2024-25,Total,1034.5,545,1556.6,516.2,243.1,162.5,89.3,n.a.,4147.3,n.a.
