socioeconomic_areas,nsw,vic,qld,wa,sa,tas,act,nt,australia
1 (lowest),69.5,16.6,127,24.9,23,9.8,—,12.1,283
2,53.9,12.5,87.3,25.3,7.9,3.2,. .,8.2,198.2
3,23.5,23.3,51.8,10.4,4.7,1.2,0.1,15.2,130.3
4,15,8.1,15.5,7.1,1.7,0.1,5.4,5.8,58.8
5 (highest),18.6,4.2,5.7,6,—,—,10.7,—,45.2
Total in detention ,184.28,73.86,289.79,73.86,38.22,14.32,17.05,42.37,733.74
