indigenous_status,10,11,12,13,14,15,16,17,12_17
First Nations,—,—,31.078,50.414,148.963,226.612,192.498,212.22,143.934
Non-Indigenous,—,—,0.2,0.273,7.835,12.923,15.082,22.526,9.627
Total,—,—,1.188,1.826,12.39,19.723,20.868,29.06,13.96
