sex,indigenous_status,nsw,vic,qld,wa,sa,tas,act,nt,australia
Male,First Nations,33.897,14.223,68.151,39.98,33.824,12.351,74.447,63.062,44.373
Male,Non—Indigenous,1.526,1.809,2.568,1.716,1.765,3.162,6.211,2.416,1.958
Male,Total,3.967,2.073,8.292,4.338,3.52,4.191,8.573,27.629,4.757
Female,First Nations,2.875,1.802,11.991,3.281,8.329,2.915,23.708,5.226,6.068
Female,Non—Indigenous,0.148,0.051,0.455,0.266,0.267,0.754,0.538,—,0.225
Female,Total,0.354,0.088,1.481,0.477,0.701,0.999,1.227,2.168,0.612
Total,First Nations,18.927,8.114,40.65,21.924,21.393,7.765,51.855,35.12,25.73
Total,Non—Indigenous,0.858,0.953,1.543,1.012,1.035,1.999,3.465,1.254,1.116
Total,Total,2.216,1.106,4.984,2.46,2.147,2.649,5.026,15.364,2.744
