socioeconomic_areas,nsw,vic,qld,wa,sa,tas,act,nt,australia
1 (lowest),4.655,1.659,8.078,6.007,3.648,3.596,—,16.17,5.182
2,2.788,1.078,6.998,3.156,2.543,2.677,. .,16.579,3.526
3,2.088,1.34,3.656,1.719,1.124,1.785,—,30.745,2.4
4,1.047,0.533,1.676,0.925,0.636,0.181,5.248,6.105,1.132
5 (highest),0.813,0.348,0.881,1.539,0.013,—,4.688,—,0.92
