indigenous_status,age,nsw,vic,qld,wa,sa,tas,act,nt,australia
First Nations,10-13 years,—,—,—,—,—,—,—,1,1
First Nations,14-17 years,111,7,136,60,n.p.,7,n.p.,148,485
First Nations,18+ years,23,13,7,—,n.p.,—,n.p.,—,46
First Nations,Total,134,20,143,60,19,7,—,149,532
Non-Indigenous,10-13 years,—,—,—,—,—,—,—,—,—
Non-Indigenous,14-17 years,52,29,29,41,n.p.,12,n.p.,6,184
Non-Indigenous,18+ years,34,65,1,—,n.p.,—,n.p.,—,102
Non-Indigenous,Total,86,94,30,41,n.p.,12,n.p.,6,286
Not stated,10-13 years,—,—,—,—,—,—,—,—,—
Not stated,14-17 years,2,—,—,—,—,—,—,2,4
Not stated,18+ years,—,—,—,—,—,—,—,—,—
Not stated,Total,2,—,—,—,—,—,—,2,4
Total,10-13 years,—,—,—,—,—,—,—,1,1
Total,14-17 years,165,36,165,101,n.p.,19,n.p.,156,673
Total,18+ years,57,78,8,—,n.p.,—,n.p.,—,148
Total,Total,222,114,173,101,n.p.,19,n.p.,157,822
