indigenous_status,10,11,12,13,14,15,16,17,10_17
First Nations,—,0.531,3.429,11.82,17.717,39.117,43.065,58.775,21.924
Non-Indigenous,—,—,—,0.235,0.658,1.174,2.883,3.177,1.012
Total,—,—,0.254,1.032,1.84,3.843,5.716,7.076,2.46
