remoteness_area,nsw,vic,qld,wa,sa,tas,act,nt,australia
Major cities of Australia,6.397,3.166,9.897,10.567,8.183,—,12.67,n.a.,6.966
Inner regional Australia,11.725,3.061,12.677,4.539,4.676,19.335,—,n.a.,9.54
Outer regional Australia,14.232,2.955,31.061,15.935,15.413,14.814,—,n.a.,19.677
Remote Australia,39.278,—,59.256,24.079,13.942,13.955,—,n.a.,33.547
Very remote Australia,97.887,—,74.704,78.271,48.462,—,—,n.a.,73.644
