year,indigenous_status,sex,nsw,vic,qld,wa,sa,tas,act,nt,australia_excl_nt,australia
2020-21,First Nations,Male,184.6,181.6,195.7,140.2,159.6,178.4,183.3,164.6,178.8,177.463
2020-21,First Nations,Female,192.7,170.4,206.6,134.7,164.8,177.3,92.3,163.3,186.4,185.489
2020-21,First Nations,Total,186.5,179.6,198.6,139.1,160.9,178.1,155.6,164.5,180.6,179.279
2020-21,Non-Indigenous,Male,175.3,169.5,190.2,150.7,156.3,192.7,203.1,157.3,174.2,174.155
2020-21,Non-Indigenous,Female,177.4,181.2,186.2,116.2,144.2,196.8,173.9,173.5,172.8,172.841
2020-21,Non-Indigenous,Total,175.7,171.4,189.4,144.3,154.6,193.8,194.4,160.4,174,173.911
2020-21,Total,Male,177.4,171.3,193.1,144.7,157.4,185.8,199.2,165.1,175.7,175.192
2020-21,Total,Female,181,178.8,199.3,127,154.7,181.4,157.6,164.4,178.4,178.048
2020-21,Total,Total,178.2,172.5,194.5,141.3,156.9,184.8,186.8,165.1,176.2,175.784
2021-22,First Nations,Male,178.9,182,192.6,143.8,160.1,209.5,172.3,179.5,176.9,177.182
2021-22,First Nations,Female,175.1,178.3,207.8,130.5,153.7,210.5,91,151.9,181.2,179.327
2021-22,First Nations,Total,178.1,181.4,196.8,140.8,158.5,209.8,148.6,175.3,178,177.733
2021-22,Non-Indigenous,Male,177.6,171.4,197.3,133.8,169,157.9,168.1,207.6,173.9,174.049
2021-22,Non-Indigenous,Female,186.5,175.3,196.8,135.6,178,198.1,185.9,156,180.3,180.253
2021-22,Non-Indigenous,Total,179.1,172,197.2,134.2,170.4,169,173.7,202.7,175,175.164
2021-22,Total,Male,176.4,172.9,194.2,139.5,164.7,171.8,169,182.9,174.6,175.058
2021-22,Total,Female,178.8,175.8,204.5,132.4,165,197.7,167.4,153.7,180.4,179.416
2021-22,Total,Total,176.9,173.3,196.7,138,164.8,178.5,168.5,178.5,175.8,175.978
2022-23,First Nations,Male,175.3,172.2,186.8,161.2,157.1,175.7,132.8,201.8,175.3,178.774
2022-23,First Nations,Female,173.4,154.5,188.3,152.4,138.5,165.5,127.8,198.2,172,174.028
2022-23,First Nations,Total,174.9,169.3,187.3,159.1,150.9,173.2,132,201.3,174.5,177.695
2022-23,Non-Indigenous,Male,166.2,163.1,194.8,137,160.7,191,171.7,256.3,168.8,169.357
2022-23,Non-Indigenous,Female,162.5,150,204.8,123.2,141.6,217.9,174.5,277,166.9,167.009
2022-23,Non-Indigenous,Total,165.2,161.4,196.8,134.2,156.2,199.5,172.6,257.4,168.4,168.852
2022-23,Total,Male,170,164.6,189.7,151,159.1,184.3,160.7,204.2,171.6,173.949
2022-23,Total,Female,165.6,150.8,192.8,141.5,139.8,202.2,169,194.9,169,170.232
2022-23,Total,Total,169,162.7,190.6,148.9,153.7,189.8,163,202.3,171,173.115
2023-24,First Nations,Male,173.5,158.6,184.5,155.4,182.2,216.7,149,n.a.,174.4,n.a.
2023-24,First Nations,Female,178,132.9,191.6,139.5,166.4,198.2,131.8,n.a.,174.4,n.a.
2023-24,First Nations,Total,174.4,155.5,186.3,151.5,176.7,210.4,144.2,n.a.,174.3,n.a.
2023-24,Non-Indigenous,Male,167.1,164.5,198.6,141.7,164,182.5,186.2,n.a.,171.8,n.a.
2023-24,Non-Indigenous,Female,172.5,184.8,183.6,141.7,176.5,184.3,185.7,n.a.,173.8,n.a.
2023-24,Non-Indigenous,Total,168.2,167,195.5,141.7,166.7,180.8,186,n.a.,172.1,n.a.
2023-24,Total,Male,168.8,163.4,189.7,149.7,171.7,192,172.8,n.a.,172.5,n.a.
2023-24,Total,Female,174.8,175.8,189,140.3,170.2,189.9,168.8,n.a.,173.8,n.a.
2023-24,Total,Total,170,165,189.5,147.5,171.3,189.9,171.5,n.a.,172.7,n.a.
2024-25,First Nations,Male,165.1,153.6,180.5,140.3,151.5,204.8,146.6,n.a.,165.5,n.a.
2024-25,First Nations,Female,184,117.3,201.2,137,136.7,242,201.5,n.a.,180.1,n.a.
2024-25,First Nations,Total,169,147.9,186,139.6,147,217.6,159.2,n.a.,169,n.a.
2024-25,Non-Indigenous,Male,174.4,156.7,192.9,138.3,134.1,211,170,n.a.,168.3,n.a.
2024-25,Non-Indigenous,Female,175.4,144.1,189.8,128.4,146.9,203.6,177.7,n.a.,166.9,n.a.
2024-25,Non-Indigenous,Total,174.7,155.2,192.3,136,136.9,210.7,172.1,n.a.,168.2,n.a.
2024-25,Total,Male,167.3,155.6,184.9,139.4,142.9,205.2,162.3,n.a.,166.2,n.a.
2024-25,Total,Female,179.3,137.7,197.5,133.4,140.6,217.7,184,n.a.,174.3,n.a.
2024-25,Total,Total,169.7,153.3,187.9,138.1,142.3,209.2,168.1,n.a.,167.9,n.a.
