sex,indigenous_status,nsw,vic,qld,wa,sa,tas,act,nt,australia
Male,First Nations,279.21,136.745,377.735,572.754,390.154,175.719,559.977,814.003,369.933
Male,Non-Indigenous,20.637,13.325,19.749,28.475,21.177,37.095,43.686,27.35,20.118
Male,Total,42.174,15.998,51.371,65.76,41.726,53.704,61.551,359.591,44.049
Female,First Nations,90.549,29.127,145.866,198.426,214.684,84.488,287.278,238.16,131.81
Female,Non-Indigenous,5.599,2.106,6.021,9.056,7.07,15.98,18.881,3.854,5.62
Female,Total,12.401,2.677,18.481,22.322,18.34,24.126,26.867,103.877,14.155
Total,First Nations,188.329,83.811,264.386,388.583,304.6,131.384,438.556,535.793,254.156
Total,Non-Indigenous,13.357,7.864,13.123,19.073,14.307,27.317,31.68,16.055,13.1
Total,Total,27.764,9.512,35.446,44.664,30.392,39.967,44.807,236.774,29.569
