sex,year,10,11,12,13,14,15,16,17,10_17
Male,2020-21,0.1,1.3,6.1,24,65.6,114.2,165.6,200.9,577.8
Male,2021-22,0.2,1.1,7.7,26.2,69.6,128.8,177.4,213.7,624.7
Male,2022-23,0.3,1.8,5.6,28.6,68.3,128.6,178.1,223,634.3
Male,2023-24,0.1,1.9,6.6,26.2,72.6,119.5,180.6,225.6,633.1
Male,2024-25,0,0.7,5.9,25.4,65.8,137.7,194.4,224.3,654.2
Female,2020-21,0,0.1,1.2,5.5,10.9,17.8,14.5,15.7,65.7
Female,2021-22,0,0.1,2,6.3,11.8,15.9,21.8,17.4,75.3
Female,2022-23,0,0.1,1.5,4,12.1,20,20,21.4,79
Female,2023-24,0,0.1,1.3,4.1,12,19.8,20.4,20.4,78.2
Female,2024-25,0,0.5,2.3,5.6,10.3,17.5,23.5,19.7,79.5
Not stated,2020-21,0,0,0,0,0,0,0,0,0.3
Not stated,2021-22,0,0,0,0,0,0,0,0,0
Not stated,2022-23,0,0,0,0,0,0,0,0,0.1
Not stated,2023-24,0,0,0,0,0,0,0,0,0
Not stated,2024-25,0,0,0,0,0,0,0,0,0.1
Total,2020-21,0.1,1.4,7.4,29.4,76.5,132.2,180.1,216.6,643.8
Total,2021-22,0.2,1.2,9.7,32.5,81.3,144.7,199.2,231.2,700
Total,2022-23,0.3,1.9,7.1,32.5,80.5,148.6,198.1,244.4,713.4
Total,2023-24,0.2,1.9,7.9,30.3,84.7,139.3,201,246,711.3
Total,2024-25,0,1.2,8.1,31,76.2,155.3,217.9,244,733.7
