number_of_orders,first_nations,non_indigenous,not_stated,total
1,1242,1427,71,2740
2,745,752,41,1538
3,431,349,14,794
4,293,253,7,553
5,219,170,3,392
6+,1445,1084,14,2543
Total,4375,4035,150,8560
