sex,indigenous_status,10_11,12,13,14,15,16,17
Male,First Nations,7.513,73.322,162.711,369.876,550.628,613.733,769.4
Male,Non-Indigenous,—,0.431,4.77,14.49,30.301,37.579,46.25
Male,Total,0.523,5.243,15.122,38.149,65.627,77.411,95.919
Female,First Nations,—,19.637,62.161,156.113,224.226,222.64,194.951
Female,Non-Indigenous,—,0.522,1.637,4.775,9.618,9,11.338
Female,Total,—,1.829,5.626,15.027,24.182,23.783,23.743
Total,First Nations,4.14,47.243,113.367,265.036,390.795,423.801,488.277
Total,Non-Indigenous,—,0.475,3.247,9.766,20.283,23.733,29.457
Total,Total,0.299,3.614,10.502,26.899,45.538,51.451,61.064
